GeneID	Type	Chromosome	Start	End
RBMS2	Gene	chr12	56921567	56931567
MYO1A	Gene	chr12	57430520	57440520
AVIL,CTDSP2	Gene	chr12	58208913	58218913
nonCoding63750,nonCoding63751,nonCoding63752,nonCoding63753	Noncoding	chr12	58393761	58443761
nonCoding63766	Noncoding	chr12	58593718	58603718
nonCoding64011	Noncoding	chr12	63605629	63615629
nonCoding64070	Noncoding	chr12	66081709	66091709
nonCoding64102	Noncoding	chr12	67303068	67313068
LGR5	Gene	chr12	71871258	71881258
TRHDE,TPH2	Gene	chr12	72509029	72519029
TRHDE,TPH2	Gene	chr12	72548099	72558099
TRHDE	Gene	chr12	72947618	73001675
nonCoding64426	Noncoding	chr12	75606387	75616387
NAV3,AC073528.1	Gene	chr12	77938976	77948976
NAV3	Gene	chr12	78073341	78112670
nonCoding64562	Noncoding	chr12	79067687	79107111
nonCoding64565	Noncoding	chr12	79112520	79132520
SYT1	Gene	chr12	79467507	79477507
SYT1	Gene	chr12	79618594	79680753
METTL25,CCDC59	Gene	chr12	82752725	82762725
nonCoding64647	Noncoding	chr12	83034547	83067773
TMTC2	Gene	chr12	83158360	83168360
TMTC2	Gene	chr12	83209243	83219243
TMTC2	Gene	chr12	83364294	83374294
nonCoding64660	Noncoding	chr12	83660160	83680160
nonCoding64726	Noncoding	chr12	84654302	84664302
SLC6A15	Gene	chr12	85302460	85312460
nonCoding64824	Noncoding	chr12	87551190	87561190
nonCoding64830	Noncoding	chr12	87615960	87635960
C12orf50	Gene	chr12	88387924	88397924
nonCoding64887	Noncoding	chr12	88699551	88709551
KITLG	Gene	chr12	88894586	88904586
nonCoding64905,nonCoding64906	Noncoding	chr12	89080566	89140630
nonCoding65216	Noncoding	chr12	94456974	94466974
nonCoding65230	Noncoding	chr12	94946794	94956794
NTN4	Gene	chr12	96158282	96168282
CDK17	Gene	chr12	96715721	96735721
nonCoding65403	Noncoding	chr12	100550935	100560935
NR1H4	Gene	chr12	100889813	100937784
DRAM1	Gene	chr12	102284554	102294554
C12orf42	Gene	chr12	103734888	103760922
nonCoding65565	Noncoding	chr12	106416882	106426882
RIC8B	Gene	chr12	107257275	107267275
SVOP	Gene	chr12	109423480	109433480
nonCoding65662	Noncoding	chr12	110676341	110686341
ATP2A2	Gene	chr12	110746983	110756983
ATP2A2	Gene	chr12	110767456	110794887
VPS29,RAD9B	Gene	chr12	110935069	110945069
PPTC7	Gene	chr12	110991549	111001549
nonCoding65676,nonCoding65677	Noncoding	chr12	111435907	111455907
nonCoding65678	Noncoding	chr12	111456135	111466135
CUX2	Gene	chr12	111474740	111494740
ATXN2,SH2B3	Gene	chr12	111713158	112011420
RPL6,PTPN11	Gene	chr12	112857123	112867123
nonCoding65684	Noncoding	chr12	112957212	112978489
OAS1	Gene	chr12	113360155	113370155
SDS,SDSL,PLBD2	Gene	chr12	113796384	113877649
RBM19	Gene	chr12	114317275	114327275
MED13L	Gene	chr12	116405876	116415876
ABCB9	Gene	chr12	123417889	123427889
MPHOSPH9,CDK2AP1,C12orf65	Gene	chr12	123635982	123747680
nonCoding65966	Noncoding	chr12	125152340	125162340
TMEM132B	Gene	chr12	125709691	125719691
nonCoding66012	Noncoding	chr12	126566414	126591325
nonCoding66030	Noncoding	chr12	127015708	127061601
nonCoding66049	Noncoding	chr12	127342480	127352480
nonCoding66072	Noncoding	chr12	127700752	127724365
nonCoding66120	Noncoding	chr12	128432927	128442927
TMEM132C	Gene	chr12	129123528	129133528
TMEM132D	Gene	chr12	130301161	130311161
EP400	Gene	chr12	132494418	132534905
ZNF268,ANHX	Gene	chr12	133789109	133799109
PSPC1	Gene	chr13	20339696	20349696
nonCoding66275	Noncoding	chr13	20889962	20899962
nonCoding66292	Noncoding	chr13	21893244	21903244
ATP8A2	Gene	chr13	26134838	26164838
FLT3	Gene	chr13	28644558	28654558
nonCoding66522	Noncoding	chr13	29126988	29136988
MTUS2	Gene	chr13	30016771	30036771
nonCoding66555	Noncoding	chr13	30529297	30539297
nonCoding66647	Noncoding	chr13	33381794	33391794
nonCoding66668,nonCoding66669	Noncoding	chr13	33959986	33993836
nonCoding66686	Noncoding	chr13	34195818	34215818
nonCoding66815	Noncoding	chr13	37649976	37659976
nonCoding66877,UFM1	Gene	chr13	38885800	38933904
UFM1	Gene	chr13	38938128	38948128
nonCoding66931	Noncoding	chr13	40217675	40227675
COG6	Gene	chr13	40357952	40367952
nonCoding66988	Noncoding	chr13	41447190	41457190
nonCoding66989	Noncoding	chr13	41477597	41487597
ELF1	Gene	chr13	41496779	41506779
nonCoding66999	Noncoding	chr13	41985665	41995665
nonCoding67002	Noncoding	chr13	42063423	42073423
VWA8	Gene	chr13	42200311	42231582
VWA8	Gene	chr13	42231801	42251801
VWA8	Gene	chr13	42254054	42264054
DGKH	Gene	chr13	42766212	42776212
nonCoding67023	Noncoding	chr13	43005019	43045019
DNAJC15	Gene	chr13	43602523	43612523
nonCoding67123	Noncoding	chr13	46200826	46210826
nonCoding67124	Noncoding	chr13	46225184	46235184
nonCoding67191	Noncoding	chr13	47998106	48025836
nonCoding67211	Noncoding	chr13	48264904	48274904
FNDC3A	Gene	chr13	49688614	49708614
nonCoding67465	Noncoding	chr13	54802543	54812543
nonCoding67617	Noncoding	chr13	57330282	57340282
nonCoding67618	Noncoding	chr13	57361742	57371742
nonCoding67700	Noncoding	chr13	58947301	58957301
nonCoding67795	Noncoding	chr13	60179360	60199360
nonCoding67863	Noncoding	chr13	61813960	61823960
nonCoding67921	Noncoding	chr13	62711717	62731717
nonCoding67959	Noncoding	chr13	63285759	63295759
nonCoding68126,nonCoding68124	Noncoding	chr13	65749140	65793480
nonCoding68131	Noncoding	chr13	65897357	65907357
nonCoding68263	Noncoding	chr13	68764635	68774635
nonCoding68334	Noncoding	chr13	69813052	69823052
KLHL1	Gene	chr13	70371958	70400987
KLHL1	Gene	chr13	70401399	70421812
KLHL1	Gene	chr13	70560087	70581964
nonCoding68504	Noncoding	chr13	73227405	73237405
PIBF1	Gene	chr13	73358777	73378777
nonCoding68649	Noncoding	chr13	75829610	75839610
SLAIN1	Gene	chr13	78299149	78309149
nonCoding68884	Noncoding	chr13	80478774	80488774
nonCoding68997	Noncoding	chr13	82079131	82109131
nonCoding69144	Noncoding	chr13	84406379	84416379
nonCoding69170	Noncoding	chr13	84858008	84868008
nonCoding69217	Noncoding	chr13	85551022	85561022
nonCoding69232	Noncoding	chr13	85789853	85799853
nonCoding69269,nonCoding69270,nonCoding69271,SLITRK6	Gene	chr13	86325950	86365950
nonCoding69291	Noncoding	chr13	86689177	86699177
nonCoding69358	Noncoding	chr13	88166933	88176933
nonCoding69360	Noncoding	chr13	88214707	88224707
nonCoding69527	Noncoding	chr13	91254055	91264055
nonCoding69542	Noncoding	chr13	91488374	91498374
GPC5	Gene	chr13	92544953	92554953
GPC5	Gene	chr13	92577312	92694362
nonCoding69631,nonCoding69632	Noncoding	chr13	95546069	95566069
nonCoding69694	Noncoding	chr13	98295843	98305843
nonCoding69844,nonCoding69845	Noncoding	chr13	104179504	104218819
nonCoding69887	Noncoding	chr13	104848916	104858916
nonCoding69888	Noncoding	chr13	104859896	104869896
nonCoding69907	Noncoding	chr13	105118284	105128284
nonCoding69921,nonCoding69922	Noncoding	chr13	105373540	105393540
nonCoding69947	Noncoding	chr13	105816548	105836548
nonCoding69971,nonCoding69970	Noncoding	chr13	106204238	106242148
nonCoding69975	Noncoding	chr13	106271730	106281730
nonCoding70052,nonCoding70053	Noncoding	chr13	107466723	107488053
nonCoding70077	Noncoding	chr13	108530205	108540205
nonCoding70125	Noncoding	chr13	110016335	110026335
nonCoding70234	Noncoding	chr13	112559894	112569894
nonCoding70257	Noncoding	chr13	112984772	112994772
nonCoding70268	Noncoding	chr13	113934143	113944143
TFDP1	Gene	chr13	114173409	114275321
OR4N2,OR4M1	Gene	chr14	20245240	20255240
nonCoding70287	Noncoding	chr14	20556489	20566489
TRAV6	Gene	chr14	22226167	22236167
TRAV26-2	Gene	chr14	22659653	22669653
nonCoding70334	Noncoding	chr14	22804028	22814028
DAD1	Gene	chr14	23023385	23033385
nonCoding70357,nonCoding70358	Noncoding	chr14	24185860	24205860
nonCoding70373	Noncoding	chr14	24400972	24420972
STXBP6	Gene	chr14	25334711	25344711
nonCoding70590	Noncoding	chr14	28619642	28639642
nonCoding70635	Noncoding	chr14	29299481	29309481
nonCoding70696	Noncoding	chr14	30752516	30762516
nonCoding70763	Noncoding	chr14	34333600	34353600
nonCoding70769	Noncoding	chr14	35184071	35204071
RALGAPA1	Gene	chr14	36172113	36216674
TTC6	Gene	chr14	38332971	38342971
nonCoding70937	Noncoding	chr14	40433637	40443637
nonCoding71005,nonCoding71004	Noncoding	chr14	41531732	41556898
nonCoding71009,nonCoding71007,nonCoding71010	Noncoding	chr14	41566898	41713143
nonCoding71019	Noncoding	chr14	41793771	41803771
nonCoding71081,nonCoding71082,nonCoding71079	Noncoding	chr14	43226888	43276888
nonCoding71218	Noncoding	chr14	45956938	45966938
nonCoding71236	Noncoding	chr14	46220730	46230730
nonCoding71270	Noncoding	chr14	46820153	46840622
nonCoding71300	Noncoding	chr14	48163700	48173700
nonCoding71304	Noncoding	chr14	48216086	48226086
POLE2	Gene	chr14	50139029	50149029
NEMF,AL627171.1	Gene	chr14	50298988	50308988
nonCoding71493	Noncoding	chr14	52641836	52651836
nonCoding71564	Noncoding	chr14	54273961	54283961
nonCoding71697	Noncoding	chr14	57557816	57567816
EXOC5	Gene	chr14	57715110	57725110
KIAA0586	Gene	chr14	58951829	58984173
GPR135	Gene	chr14	59904047	59914047
MNAT1	Gene	chr14	61213775	61223775
PRKCH	Gene	chr14	61920155	61930155
KCNH5	Gene	chr14	63531664	63551664
RHOJ	Gene	chr14	63663538	63754944
GPHB5,nonCoding71852,nonCoding71853,nonCoding71854,PPP2R5E	Gene	chr14	63774358	63897797
SYNE2	Gene	chr14	64491844	64501844
FUT8	Gene	chr14	65993858	66066822
GPHN	Gene	chr14	67465628	67475628
GPHN	Gene	chr14	67547460	67557460
GPHN	Gene	chr14	67568831	67578831
RAD51B	Gene	chr14	68491048	68523974
ERH	Gene	chr14	69849265	69859265
SIPA1L1	Gene	chr14	71787901	71953532
SIPA1L1	Gene	chr14	72113890	72133890
NRXN3	Gene	chr14	79156624	79166624
NRXN3	Gene	chr14	79685748	79695748
DIO2	Gene	chr14	80726499	80736499
SEL1L	Gene	chr14	81932854	81952854
nonCoding72248	Noncoding	chr14	83547482	83557482
nonCoding72379	Noncoding	chr14	85438187	85448187
nonCoding72534	Noncoding	chr14	87936966	87946966
nonCoding72540	Noncoding	chr14	88004729	88014729
TDP1	Gene	chr14	90442911	90452911
PPP4R4	Gene	chr14	94641507	94715737
nonCoding72667	Noncoding	chr14	95132148	95142148
nonCoding72712	Noncoding	chr14	96079084	96089084
nonCoding72726	Noncoding	chr14	96277511	96287511
PAPOLA	Gene	chr14	96994891	97004891
VRK1	Gene	chr14	97284026	97324026
nonCoding72808	Noncoding	chr14	98017210	98037210
nonCoding72813	Noncoding	chr14	98067210	98077210
nonCoding72893,nonCoding72894	Noncoding	chr14	99101894	99121894
WDR25	Gene	chr14	100905330	100915330
nonCoding73022,nonCoding73020,nonCoding73023	Noncoding	chr14	102147708	102238625
PPP2R5C	Gene	chr14	102338489	102395074
AHNAK2	Gene	chr14	105410516	105420516
PACS2	Gene	chr14	105791595	105846691
IGHV4-34,nonCoding73072,IGHV3-43	Gene	chr14	106765207	106927115
nonCoding73076	Noncoding	chr14	106996916	107006916
nonCoding73081	Noncoding	chr14	107150796	107160796
nonCoding73133,nonCoding73132	Noncoding	chr15	24456591	24503433
nonCoding73181	Noncoding	chr15	25474361	25484361
nonCoding73207	Noncoding	chr15	26158883	26168883
nonCoding73211	Noncoding	chr15	26212787	26222787
GABRB3	Gene	chr15	26890226	26900226
OCA2	Gene	chr15	28297815	28307815
HERC2	Gene	chr15	28364572	28384572
HERC2	Gene	chr15	28484945	28494945
HERC2	Gene	chr15	28515460	28525460
APBA2	Gene	chr15	29365817	29375817
nonCoding73280	Noncoding	chr15	30276184	30286184
TRPM1	Gene	chr15	31324203	31382994
AVEN,CHRM5	Gene	chr15	34255136	34275136
nonCoding73312	Noncoding	chr15	34747300	34757300
nonCoding73383	Noncoding	chr15	36311026	36321026
nonCoding73393	Noncoding	chr15	36424774	36484774
nonCoding73399	Noncoding	chr15	36552443	36562443
nonCoding73544	Noncoding	chr15	39358630	39368630
nonCoding73563	Noncoding	chr15	39602051	39612051
nonCoding73582,nonCoding73583	Noncoding	chr15	39826146	39856146
RTF1	Gene	chr15	41722413	41751475
CAPN3,AC012651.1	Gene	chr15	42652993	42662993
TTBK2	Gene	chr15	43126380	43136380
EPB42	Gene	chr15	43496295	43506295
FRMD5	Gene	chr15	44197632	44207632
FRMD5	Gene	chr15	44408942	44418942
FRMD5	Gene	chr15	44450614	44460614
nonCoding73615,SLC28A2	Gene	chr15	45512189	45580172
nonCoding73618,nonCoding73620,GATM	Gene	chr15	45613662	45692398
C15orf48	Gene	chr15	45712182	45742182
BLOC1S6,AC090527.2	Gene	chr15	45869812	45879812
nonCoding73637	Noncoding	chr15	46175865	46185865
nonCoding73639	Noncoding	chr15	46195865	46205865
nonCoding73641,nonCoding73642	Noncoding	chr15	46236932	46266932
nonCoding73658	Noncoding	chr15	46479953	46489953
nonCoding73685	Noncoding	chr15	46871006	46881006
SLC12A1,CTXN2,nonCoding73758,nonCoding73759,nonCoding73760,MYEF2,SLC24A5	Gene	chr15	48371224	48510654
SLC12A1,DUT	Gene	chr15	48520654	48668062
SLC27A2	Gene	chr15	50519124	50529124
nonCoding73888	Noncoding	chr15	54936359	54946359
nonCoding73903	Noncoding	chr15	55142007	55152007
RORA	Gene	chr15	61422898	61432898
nonCoding74111	Noncoding	chr15	63750114	63760114
USP3	Gene	chr15	63803465	63833465
DAPK2	Gene	chr15	64262614	64272614
ZNF609	Gene	chr15	64964625	64974625
RBPMS2	Gene	chr15	65037031	65078312
RASL12,KBTBD13	Gene	chr15	65360498	65370498
UBAP1L,PDCD7	Gene	chr15	65394810	65414810
RAB11A	Gene	chr15	66157028	66167028
MEGF11	Gene	chr15	66186310	66196310
TIPIN	Gene	chr15	66656523	66677903
MAP2K1,RPL4,SNAPC5	Gene	chr15	66780855	66790855
PAQR5	Gene	chr15	69682700	69692700
KIF23	Gene	chr15	69722700	69742700
nonCoding74273	Noncoding	chr15	70782118	70792118
LRRC49	Gene	chr15	71215598	71225598
CELF6,AC009690.1,AC009690.3	Gene	chr15	72601671	72611671
nonCoding74292	Noncoding	chr15	72903477	72913477
EDC3	Gene	chr15	74978207	74988207
C15orf39	Gene	chr15	75480068	75490068
NEIL1,MAN2C1	Gene	chr15	75640637	75650637
TMEM266	Gene	chr15	76445192	76455192
AGBL1	Gene	chr15	86624464	86634464
NTRK3	Gene	chr15	88743210	88753210
nonCoding74621	Noncoding	chr15	88937848	88947848
nonCoding74624	Noncoding	chr15	88957848	88987848
MRPS11,MRPL46	Gene	chr15	89007848	89027848
nonCoding74665,nonCoding74664	Noncoding	chr15	90481288	90501288
nonCoding74725	Noncoding	chr15	92375143	92385143
nonCoding74788	Noncoding	chr15	94086498	94096498
nonCoding74824	Noncoding	chr15	94578601	94588601
nonCoding74986	Noncoding	chr15	97153257	97163257
nonCoding75010	Noncoding	chr15	97539739	97549739
nonCoding75019	Noncoding	chr15	97655130	97665130
nonCoding75022	Noncoding	chr15	97691582	97701582
MEF2A	Gene	chr15	100160710	100180710
ADAMTS17	Gene	chr15	100571588	100581588
ADAMTS17	Gene	chr15	100703241	100723241
UBE2I	Gene	chr16	1360220	1370220
PKD1,TSC2	Gene	chr16	2117986	2137986
nonCoding75188	Noncoding	chr16	2397660	2407660
nonCoding75190	Noncoding	chr16	2709533	2719533
CREBBP	Gene	chr16	3865566	3912301
RBFOX1	Gene	chr16	5388731	5398731
RBFOX1	Gene	chr16	5543801	5573801
SNX29	Gene	chr16	12376365	12386365
PARN	Gene	chr16	14613249	14623249
PARN	Gene	chr16	14647108	14657108
PARN	Gene	chr16	14681767	14691767
PARN	Gene	chr16	14715652	14725652
nonCoding75426	Noncoding	chr16	15985149	15995149
nonCoding75428	Noncoding	chr16	16015727	16025727
XYLT1	Gene	chr16	17421513	17507788
nonCoding75455,nonCoding75456	Noncoding	chr16	17576709	17618907
ACSM3,THUMPD1,ACSM1	Gene	chr16	20710356	20720356
C16orf52	Gene	chr16	22067889	22077889
POLR3E	Gene	chr16	22317174	22327174
EARS2,GGA2	Gene	chr16	23528848	23538848
KIAA0556	Gene	chr16	27762090	27772090
SH2B1,TUFM	Gene	chr16	28835145	28901414
nonCoding75710	Noncoding	chr16	29176872	29186872
nonCoding75714	Noncoding	chr16	29777368	29787368
KIF22	Gene	chr16	29800019	29810019
HIRIP3,TAOK2,INO80E	Gene	chr16	30001702	30011702
ALDOA	Gene	chr16	30073419	30083419
ZNF747,ZNF768,AC002310.4,AC002310.5	Gene	chr16	30538316	30548316
SRCAP,AC106886.5	Gene	chr16	30725853	30735853
PHKG2,CCDC189,RNF40	Gene	chr16	30746924	30780580
nonCoding75731	Noncoding	chr16	31712185	31742823
nonCoding75738,nonCoding75737	Noncoding	chr16	32544789	32583711
nonCoding75740,nonCoding75741	Noncoding	chr16	33589139	33841232
nonCoding75747,nonCoding75748	Noncoding	chr16	34189441	34269178
nonCoding75755	Noncoding	chr16	34426560	34436560
nonCoding75762	Noncoding	chr16	34537397	34557397
nonCoding75765	Noncoding	chr16	34572288	34582288
nonCoding75786	Noncoding	chr16	34864861	34874861
nonCoding75792	Noncoding	chr16	34952300	34962300
nonCoding75798	Noncoding	chr16	35002938	35022938
nonCoding75803,nonCoding75808,nonCoding75807,nonCoding75805,nonCoding75804,nonCoding75806	Noncoding	chr16	35076819	35148703
nonCoding75821	Noncoding	chr16	46539602	46549602
nonCoding75825	Noncoding	chr16	46644495	46707835
GPT2	Gene	chr16	46953035	46973035
nonCoding75830	Noncoding	chr16	47045935	47055935
NETO2	Gene	chr16	47129681	47139681
ITFG1	Gene	chr16	47257963	47267963
ITFG1	Gene	chr16	47277963	47297963
PHKB,ITFG1	Gene	chr16	47494941	47504941
PHKB	Gene	chr16	47517183	47622058
nonCoding75838	Noncoding	chr16	47765582	47785582
nonCoding75841,nonCoding75844	Noncoding	chr16	47804034	47866005
nonCoding75856	Noncoding	chr16	48015485	48025485
nonCoding75858	Noncoding	chr16	48035485	48045485
nonCoding75863	Noncoding	chr16	48103662	48113662
ABCC12	Gene	chr16	48143662	48183662
ABCC11	Gene	chr16	48219853	48229853
nonCoding75955	Noncoding	chr16	50560844	50570844
SNX20	Gene	chr16	50693181	50703181
NOD2	Gene	chr16	50727583	50767583
CHD9	Gene	chr16	53280578	53310578
RPGRIP1L	Gene	chr16	53699528	53709528
nonCoding76183	Noncoding	chr16	54949246	54959246
nonCoding76185	Noncoding	chr16	54980056	54990056
NUP93	Gene	chr16	56752400	56810246
MMP15	Gene	chr16	58059933	58069933
nonCoding76257	Noncoding	chr16	58170835	58180835
nonCoding76420	Noncoding	chr16	61397337	61407337
nonCoding76682,nonCoding76681	Noncoding	chr16	65796831	65826831
CES3	Gene	chr16	66994292	67004292
ATP6V0D1	Gene	chr16	67480367	67490367
RIPOR1	Gene	chr16	67572150	67624740
PSKH1	Gene	chr16	67937336	67947336
nonCoding76770	Noncoding	chr16	72386876	72396876
ZFHX3	Gene	chr16	72830485	72840485
ZFHX3	Gene	chr16	72863147	72873147
RFWD3	Gene	chr16	74624692	74664359
WDR59	Gene	chr16	74976007	74986007
nonCoding76911	Noncoding	chr16	76157179	76177179
WWOX	Gene	chr16	78768771	78778771
nonCoding77015	Noncoding	chr16	79789765	79799765
nonCoding77024	Noncoding	chr16	79892648	79902648
nonCoding77054	Noncoding	chr16	80226868	80250018
ATMIN,AC092718.8,C16orf46,AC092718.3	Gene	chr16	81025530	81110047
nonCoding77097	Noncoding	chr16	82239462	82269462
nonCoding77104	Noncoding	chr16	82344140	82354140
CDH13	Gene	chr16	83237264	83247264
NECAB2	Gene	chr16	84003248	84013248
RNF167,SLC25A11,GP1BA	Gene	chr17	4837286	4847286
NUP88,RPAIN	Gene	chr17	5290840	5329528
NLRP1	Gene	chr17	5434580	5444580
nonCoding77365	Noncoding	chr17	11079522	11089522
nonCoding77373	Noncoding	chr17	11855660	11934895
nonCoding77376	Noncoding	chr17	12087389	12111575
nonCoding77499	Noncoding	chr17	14560581	14570581
RAI1	Gene	chr17	17696218	17706218
SPECC1	Gene	chr17	20090557	20100557
nonCoding77601	Noncoding	chr17	20655669	20665669
NLK	Gene	chr17	26426796	26436796
NLK	Gene	chr17	26508551	26547037
PIGS,ALDOC,AC005726.2	Gene	chr17	26893244	26941395
SUPT6H,PROCA1	Gene	chr17	27022526	27032526
FAM222B	Gene	chr17	27118728	27138728
TAOK1	Gene	chr17	27766915	27849130
SSH2	Gene	chr17	27959692	27969692
SSH2	Gene	chr17	27973758	27993758
MYO19	Gene	chr17	34874508	34897224
FBXL20	Gene	chr17	37480317	37523773
STARD3	Gene	chr17	37793991	37803991
IKZF3	Gene	chr17	37940922	37950922
GJD3	Gene	chr17	38519766	38544066
nonCoding77866	Noncoding	chr17	38679467	38711529
nonCoding77879	Noncoding	chr17	39362784	39382784
KRTAP9-9,KRTAP9-4	Gene	chr17	39404801	39414801
nonCoding77884	Noncoding	chr17	39700483	39710483
STAT5B	Gene	chr17	40379185	40389185
BECN1	Gene	chr17	40941716	40985081
NBR1,TMEM106A	Gene	chr17	41311463	41373880
CCDC43,MEIOC	Gene	chr17	42757951	42767951
LINC02210-CRHR1	Gene	chr17	43756461	43794501
LINC02210-CRHR1	Gene	chr17	43795221	43815221
CRHR1,LINC02210-CRHR1	Gene	chr17	43890723	43900723
CRHR1,LINC02210-CRHR1	Gene	chr17	43900808	43927762
MAPT,nonCoding77929,nonCoding77930	Gene	chr17	43948383	44011919
MAPT	Gene	chr17	44041766	44051766
MAPT	Gene	chr17	44061766	44112079
KANSL1	Gene	chr17	44170123	44200123
KANSL1,ARL17B	Gene	chr17	44202536	44354441
EFCAB13	Gene	chr17	45509795	45519795
SKAP1	Gene	chr17	46209310	46219310
nonCoding77966	Noncoding	chr17	47180727	47200727
KAT7	Gene	chr17	47881520	47891520
nonCoding78114	Noncoding	chr17	51513389	51523389
nonCoding78153,nonCoding78156,nonCoding78155	Noncoding	chr17	52139716	52184453
nonCoding78164	Noncoding	chr17	52264446	52274446
PCTP	Gene	chr17	53825407	53909647
ANKFN1	Gene	chr17	54001111	54052496
VEZF1	Gene	chr17	56046735	56075883
nonCoding78300	Noncoding	chr17	56133083	56143083
RPS6KB1,RNFT1,AC005702.2	Gene	chr17	58021291	58031291
USP32	Gene	chr17	58367250	58377250
APPBP2	Gene	chr17	58517489	58619695
PPM1D	Gene	chr17	58678045	58733018
BCAS3	Gene	chr17	58759079	58821101
BCAS3	Gene	chr17	59067495	59077495
BCAS3	Gene	chr17	59157833	59177833
MED13	Gene	chr17	60068004	60078004
nonCoding78342,nonCoding78341	Noncoding	chr17	60380462	60400462
TANC2	Gene	chr17	61308158	61328158
TANC2	Gene	chr17	61362624	61372624
DCAF7	Gene	chr17	61650119	61660119
DCAF7	Gene	chr17	61665332	61675332
TEX2	Gene	chr17	62222831	62232831
DDX5,CEP95	Gene	chr17	62502478	62512478
nonCoding78371,nonCoding78369	Noncoding	chr17	62764584	62962666
nonCoding78373	Noncoding	chr17	62972666	62992666
GNA13	Gene	chr17	63014255	63024255
nonCoding78390	Noncoding	chr17	63411683	63421683
CEP112	Gene	chr17	63802533	63812533
CEP112	Gene	chr17	63934520	64057520
HELZ	Gene	chr17	65095800	65105800
HELZ	Gene	chr17	65141492	65182213
nonCoding78407	Noncoding	chr17	65301064	65311064
BPTF	Gene	chr17	65851955	65861955
nonCoding78413,nonCoding78414,nonCoding78415	Noncoding	chr17	66069510	66122164
nonCoding78495	Noncoding	chr17	68395093	68405093
MFSD11	Gene	chr17	74732862	74765897
SEPT9	Gene	chr17	75426711	75466711
TNRC6C	Gene	chr17	75955578	75965578
nonCoding78762	Noncoding	chr17	77683987	77693987
ASPSCR1	Gene	chr17	79942849	79952849
CCDC57	Gene	chr17	80077339	80087339
nonCoding78775	Noncoding	chr17	80231662	80261509
FOXK2	Gene	chr17	80515082	80525082
YES1	Gene	chr18	812589	822589
nonCoding78859	Noncoding	chr18	1885799	1895799
nonCoding78887	Noncoding	chr18	2253185	2263185
DLGAP1	Gene	chr18	3997487	4007487
nonCoding78938	Noncoding	chr18	4580809	4590809
nonCoding78962	Noncoding	chr18	4898759	4908759
L3MBTL4	Gene	chr18	6124475	6134475
L3MBTL4	Gene	chr18	6247508	6257508
LAMA1	Gene	chr18	7001424	7041916
IMPA2	Gene	chr18	11985145	11995145
LDLRAD4	Gene	chr18	13331900	13341900
nonCoding79301	Noncoding	chr18	20162322	20172322
TAF4B	Gene	chr18	23807676	23817676
nonCoding79445	Noncoding	chr18	24453423	24463423
CHST9	Gene	chr18	24476332	24486332
nonCoding79468	Noncoding	chr18	25076885	25086885
nonCoding79583	Noncoding	chr18	26976386	26986386
nonCoding79707	Noncoding	chr18	28886646	28896646
nonCoding79751,nonCoding79750	Noncoding	chr18	30473442	30493442
nonCoding79757	Noncoding	chr18	31084050	31094050
NOL4	Gene	chr18	31669157	31679157
DTNA	Gene	chr18	32157991	32177991
KIAA1328	Gene	chr18	34439138	34449138
KIAA1328	Gene	chr18	34533497	34630941
nonCoding79971,nonCoding79973	Noncoding	chr18	37021403	37052240
nonCoding80204	Noncoding	chr18	40906632	40916632
nonCoding80206	Noncoding	chr18	40926632	40936632
nonCoding80298	Noncoding	chr18	42194390	42204390
nonCoding80300	Noncoding	chr18	42214390	42224390
nonCoding80408	Noncoding	chr18	47267005	47277005
SMAD4	Gene	chr18	48609853	48619853
DCC	Gene	chr18	50309726	50319726
nonCoding80551	Noncoding	chr18	51463273	51483273
TCF4	Gene	chr18	53207787	53237787
WDR7	Gene	chr18	54622875	54642875
nonCoding80711	Noncoding	chr18	55518177	55544969
nonCoding80719	Noncoding	chr18	55614638	55634638
nonCoding80817	Noncoding	chr18	58203563	58213563
nonCoding80836	Noncoding	chr18	58455340	58475340
KIAA1468	Gene	chr18	59934314	59944314
nonCoding80899	Noncoding	chr18	60367810	60377810
PHLPP1	Gene	chr18	60394354	60414354
PHLPP1	Gene	chr18	60444762	60454762
nonCoding80919	Noncoding	chr18	61401702	61411702
TMX3	Gene	chr18	66330855	66389407
nonCoding81197	Noncoding	chr18	66729209	66749209
CD226	Gene	chr18	67608574	67618574
RTTN	Gene	chr18	67673037	67683037
nonCoding81350	Noncoding	chr18	69995804	70005804
ZNF407	Gene	chr18	72383498	72393498
nonCoding81502	Noncoding	chr18	73437215	73447215
nonCoding81520	Noncoding	chr18	73671947	73681947
nonCoding81579	Noncoding	chr18	74993200	75003200
nonCoding81604	Noncoding	chr18	75403053	75423053
nonCoding81675	Noncoding	chr18	76514377	76524377
nonCoding81702	Noncoding	chr18	77591727	77643522
PLIN5,AC011498.4	Gene	chr19	4525168	4535168
RFX2,ACSBG2	Gene	chr19	6184882	6194882
nonCoding81740	Noncoding	chr19	7777442	7787442
OR7G3	Gene	chr19	9189922	9245759
ZNF559,ZNF559-ZNF177	Gene	chr19	9420380	9471958
ZNF441	Gene	chr19	11873751	11883751
ZNF69	Gene	chr19	11998984	12008984
ZNF763,AC008770.3	Gene	chr19	12088929	12131214
HOOK2,RNASEH2A,AC020934.3	Gene	chr19	12914937	12924937
ZSWIM4	Gene	chr19	13914835	13924835
DDX39A,ADGRE5	Gene	chr19	14510378	14520378
BRD4	Gene	chr19	15376294	15386294
